nit,fecha_corte,Patrimonio_Total,Activo_Total,Pasivo_Total,Tamano_Empresa,Razon_Endeudamiento,Insolvencia_Tecnica,Ano_Corte,Fuente,Pais_Matriz
802009482,2020-12-31,,,41963841.0,,,No,2020,SIREM - Supersociedades,COL
802009525,2021-12-31,,13183521.0,,Mediana,,No,2021,SIREM - Supersociedades,COL
802009545,2016-12-31,,,5568741.0,,,No,2016,SIREM - Supersociedades,COL
802009563,2016-12-31,,9269891.0,,Mediana,,No,2016,SIREM - Supersociedades,COL
802009563,2020-12-31,,,7474155.0,,,No,2020,SIREM - Supersociedades,COL
802009663,2020-12-31,59876239.0,,,,,No,2020,SIREM - Supersociedades,COL
802009663,2021-12-31,,187460082.0,,Grande,,No,2021,SIREM - Supersociedades,COL
802009754,2019-12-31,,2805954.0,,Pequeña,,No,2019,SIREM - Supersociedades,COL
802009981,2016-12-31,,,4010902.0,,,No,2016,SIREM - Supersociedades,COL
802009981,2020-12-31,,,4989970.0,,,No,2020,SIREM - Supersociedades,COL
802010295,2016-12-31,,7562717.0,,Mediana,,No,2016,SIREM - Supersociedades,COL
802010310,2020-12-31,1521691.0,,,,,No,2020,SIREM - Supersociedades,COL
802010310,2021-12-31,,,4232154.0,,,No,2021,SIREM - Supersociedades,COL
802010332,2020-12-31,,,1266842.0,,,No,2020,SIREM - Supersociedades,COL
802010467,2021-12-31,8059657.0,,7778759.0,,,No,2021,SIREM - Supersociedades,COL
802010572,2016-12-31,,24787517.0,,Mediana,,No,2016,SIREM - Supersociedades,COL
802010572,2020-12-31,21635980.0,,,,,No,2020,SIREM - Supersociedades,COL
802010623,2019-12-31,1961900.0,,,,,No,2019,SIREM - Supersociedades,COL
802010663,2019-12-31,,18463826.0,,Mediana,,No,2019,SIREM - Supersociedades,COL
802010733,2020-12-31,10987193.0,,,,,No,2020,SIREM - Supersociedades,COL
802011039,2021-12-31,,404162.0,120901.0,Micro,0.2991399488323989,No,2021,SIREM - Supersociedades,COL
802011046,2016-12-31,1202292.0,,,,,No,2016,SIREM - Supersociedades,COL
802011046,2019-12-31,2103932.0,,,,,No,2019,SIREM - Supersociedades,COL
802011101,2016-12-31,,,7140075.0,,,No,2016,SIREM - Supersociedades,COL
802011101,2020-12-31,,11696896.0,,Mediana,,No,2020,SIREM - Supersociedades,COL
802011101,2021-12-31,,,12538968.0,,,No,2021,SIREM - Supersociedades,COL
802011109,2018-12-31,41756019.0,,,,,No,2018,SIREM - Supersociedades,COL
802011123,2021-12-31,-4674329.0,,,,,Sí,2021,SIREM - Supersociedades,COL
802011128,2020-12-31,,,66622310.0,,,No,2020,SIREM - Supersociedades,COL
802011129,2016-12-31,1151178.0,,,,,No,2016,SIREM - Supersociedades,COL
802011160,2020-12-31,4860577.0,,,,,No,2020,SIREM - Supersociedades,COL
802011433,2018-12-31,,,20728747.0,,,No,2018,SIREM - Supersociedades,COL
802011433,2019-12-31,2112911.0,,,,,No,2019,SIREM - Supersociedades,COL
802011502,2018-12-31,,,892948.0,,,No,2018,SIREM - Supersociedades,COL
802011638,2020-12-31,,255643.0,,Micro,,No,2020,SIREM - Supersociedades,COL
802011712,2021-12-31,,5180770.0,,Pequeña,,No,2021,SIREM - Supersociedades,COL
802011859,2021-12-31,,,5535460.0,,,No,2021,SIREM - Supersociedades,COL
802011936,2016-12-31,,,740880.0,,,No,2016,SIREM - Supersociedades,COL
802011950,2021-12-31,,8257237.0,,Mediana,,No,2021,SIREM - Supersociedades,COL
